title,name,category,material,brand,description,url,img_url,biodegradable,recyclable,low_waste,eco_packaging,low_carbon,renewable
"Certified Compostable Dog Poop Bags, 270 Count Landfill Friendly and Leakproof Waste Bags, Easy Open Unscented Forest Green Poop Bag for Dog, 15 Doggy Bags Per Roll (18 rolls)",Bags,Pet Supplies,270.0 Count,Codirom,"What You Get: Receive 270 compostable poop bags in one purchase, packaged in 18 rolls with 15 bags per roll. Each bag measures 9 x 13 inches and fits perfectly in standard poop bag dispensers, providing ample space for large dogs and small dogs alike. > Compost Certified: Our bags are certified by the Products Institute and comply with U.S. standards ASTM D6400, NF T51-800:2015, and EN13432. These certifications ensure that our bags are completely compostable and will break down naturally in landfills over 90-180 days, leaving behind only H2O, CO2, and rich humus. The degradation process can even be accelerated in composting facilities. > Recycled Material Content: Codirom Dog Poop Bags are made from Landfill Friendly materials such as corn, vegetable oil, and PBAT (fully compostable polymers). Keep bags away from heat and store them in a cool, dry place. Compost bags have a shelf life of approximately 12 months, so please purchase only what you can use within 10 months. > Peaceful dog walking: Enjoy a stress-free walk with your furry friend as our bags are super easy to separate at the seal and 100% leak-proof, ensuring no odor or embarrassment. > We can make a difference: Thank you for choosing our 100% compostable poop bags and for contributing to protecting our planet. Join the green movement, You deserve every good thing, and so does the Earth.",https://www.amazon.com/dp/B0BJ6V5Y7Y,https://m.media-amazon.com/images/I/71yX+AB0QzL._AC_SY300_SX300_.jpg,1,1,0,0,0,0
"Pawtria Certified Home Compostable Dog Poop Bags (120 Bags), Biodegradable Poop Bags for Dogs, Cat Litter, Vegetable Starches, Eco-friendly Dog Waste Bags, Leakproof, Easy to Open, Give Back",Bags,Pet Supplies,120.0 Count,Pawtopia,"Purely Compostable Dog Poop Bags (120 Bags, 8 Rolls): Pawtria (formerly Pawtopia)'s eco-friendly compostable dog poop bags are designed for both dogs and cats. Made with 100% biodegradable vegetable starches (corn starch), they break down into natural substances like water, CO2, and biomass. Certified by OK Compost Industrial (EN 13432/ ASTM6400) and OK Compost Home (TÃ¼v Austria AS5810/ NF T51800), these biodegradable pet waste bags offer a zero-waste solution, unlike traditional plastic dog poop bags. > Zero Waste, Better Tomorrow: Pawtrias packaging box and roll cores are fully recyclable, keeping our dog poop bags and cat litter bags plastic-free and earth-friendly. Every detail is crafted with sustainability in mind, ensuring our compostable doggie bags contribute to a greener planet. > Thick & Leak-Proof: Our dog poop bags biodegradable are 20 microns thick, offering extra durability. The leak-proof compostable poop bags are odor-proof, keeping unpleasant smells locked away. These strong and reliable poo bags for dogs ensure you have hassle-free, pleasant walks without any nasty surprises. > Standard Size, Maximum Versatility: Our biodegradable dog waste bags are 9x13 inches, perfect for standard leash dispensers. These dog poop bags fit small pups, large dogs, cat litter needs, and even food compost, making them an all-purpose solution for pet waste disposal. > Easy to Open & Separate: Designed for convenience, our doggy poop bags easily separate and open when needed, saving you from the frustration of struggling with bags on the go.",https://www.amazon.com/dp/B098Q5VRGG,https://m.media-amazon.com/images/I/81tGROOsYpL.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,1,0,0,0
Vegan Biodegradable Bamboo Charcoal Dental Floss with Refillable Stainless Steel Container | 33yds x2 | Extra Floss Refill | Natural Candelilla Wax | Peppermint | Eco Zero Waste Oral Care,Dental Floss,Health & Household,String,ME MOTHER EARTH,"AFTER THE SUCCESS OF OUR BAMBOO CHARCOAL FLOSS IN GLASS CONTAINER KIT NOW YOU CAN BUY THE NEW OPTION OF THE FLOSS IN THIS BEAUTIFUL STAINLESS STEEL CONTAINER. WE SELL IN CRAFT FAIRS AND ARTISAN MARKETS NOW ON AMAZON - Feel guilt free buying the best Biodegradable VEGAN Bamboo Charcoal Dental Floss with Refillable Stainless Steel Container + Extra Refill - Natural Candelilla Wax and Peppermint Essential Oil. Floss length is 33yds x2 from a Family Owned Company who really helps the environment. > VEGAN AND CRUELTY-FREE unlike silk floss - Our ECO FLOSS is Biodegradable, made from Bamboo Charcoal Fiber so it breaks down FAST. Packaging is all recyclable or biodegradable. > AMAZING DEAL 2-PACK 33yds x2 OF THE BEST FLOSS (EVER) - Help the environment while using a high quality product. Our ECO FLOSS is extremely easy to use, high quality, comfortable and soothing to your gums. > OUR COMMITMENT TO MOTHER EARTH - We donate 10% of our profits to ocean and environmental conservation, so your purchase TAKES ACTION. Our packaging is also 100% recyclable and plastic-free. If you are not satisfied with your purchase, we will make it right or process a refund > CHECK OUT OUR OTHER PLASTIC-FREE PRODUCTS - Click ""add to cart"" for our ECO FLOSS and check our REFILL 4 PACK before checkout. We are constantly developing convenient products to avoid plastic in our daily lives. Mother Earth Thanks you.",https://www.amazon.com/dp/B092Q122MY,https://m.media-amazon.com/images/I/51RTMCM4wJL.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,1,0,0,0
Natural Loofah Dish Sponge Pack 3 Vegetable Scrubber for Kitchen -100% Biodegradable Compostable Dishwashing Scouring Pad Zero Waste Plastic Free Eco Friendly Sustainable,Sponges,Health & Household,Dishwashing,Miw Piw,"These bio-degradeable kitchen scrubbies are loufa vegatable, plant-based fibers come with brown paper packaging make them eco-friendly, breathable, sustainable, recyclable replace all kinds of household scrub made from plastic. Toss into compost pile when they're worn out. The persistent part of the oldest loofah is selected then sewed 4 layers together to make the organic Loofah dishwasher sponge thick and close enough so that food do not get stuck in it after washing and durable for a year.: Water shape design so it can be used on all types of nonstick cookware, pot, pan, glass, dish and fit into a small cup. Besides, it has a little loop on the top to hang it dry quickly. > Unsponge veggie loofah is soft in water but hard enough to get the tough stuff done. The more you use it the more it becomes soft - No sticky oil - Non scratch abrasive- Dry fastly. ­: Foam well and consumes less liquid / dishsoap make you feel safer to your dishes. Great idea ecotools kitchen for Vegan, Zero Waster or someone who is looking to go a little Green-er.",https://www.amazon.com/dp/B07M8RQST8,https://m.media-amazon.com/images/I/91AAuJzjrFL.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,1,0,0,1
"SmartLifeco Biodegradable Dental Floss Picks - Plant Based Handle, Thin Thread Tooth Flossers for Adults & Kids, Eco Friendly Toothpick Soft on Gum & Teeth, Compostable Zero Waste Vegan, 200 Mint",Floss Picks,Health & Household,Floss Pick,SmartLifeco,"STRAW WHEAT MATERIAL: Featuring A Compostable Straw Wheat Handle & Nylon-4 Thread! These Floss Sticks Are Better Than Corn Based Teeth Picks Because They Require Less Material To Produce. Even The Packaging Is Recyclable. Giving You The Best Plant Based Products Out There! We're Fully Committed To A Sustainable Future. > TIGHT GAPS? NO PROBLEM!: Biodegradable Flossers With The Thinnest Thread On A Pick. Great For Sensitive Gums and Tight Teeth. Our Floss Picks String are Waxed With Candelilla, An All Natural Hypoallergenic Wax! Allowing The Flosser To Glide Easy Between Your Back Teeth and Tight Gaps! We Know How Tight Those Spaces Can Get. > NO SHREDDING HERE: Don't Let Their Environmentally Friendly Nature Fool You. These Dental Picks That Are Certified & Tested by Dentists And Are Built To Last! The Textured Tooth Pick End Helps Remove Food Debris And Stimulate The Gumline For A Deep Clean. The Travel Size Packaging Allows You To Take Them Anywhere, A Backpack & Purse Essential > MMM MINTY!: Enjoy Mint Floss Threads That Are Flavored Naturally and Fluoride Free! Designed To Give You That Cool Mint Feeling, Without Being Overpowering. Whether You're An Adult Or Kid Say Goodbye To Bad Breath And Hello To A Pleasant Minty Experience....Ahh Fresh! > A BRAND YOU CAN TRUST: We're Confident That You'll Brighten That Smile And Love Your Plant Based Flossers. All Our Products Are Backed With Guaranteed Satisfaction! If You Don't Love Your Mint Floss Picks You Can Contact Our USA-Based Support Team Or Return It Within 30 Days, No Hassle, No Questions Asked.",https://www.amazon.com/dp/B08PTXK8HC,https://m.media-amazon.com/images/I/713DabX7NuL.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,1,0,0,1
Vegan Biodegradable Bamboo Charcoal Dental Floss with Refillable Glass Container | Free Refill | Natural Candelilla Wax | 30M x2 | Peppermint Essential Oil | Eco Friendly Zero Waste Oral Care,Dental Floss,Health & Household,String,ME MOTHER EARTH,"VEGAN AND CRUELTY-FREE unlike silk floss - Our ECO FLOSS is 100% Biodegradable, made from Bamboo Charcoal Fiber so it breaks down in approximately 60-90 days. Packaging is all recyclable or biodegradable. > AMAZING DEAL 2-PACK OF THE BEST FLOSS (EVER) - Help the environment while using a high quality product. Our ECO FLOSS is extremely easy to use, comfortable and soothing to your gums. > OUR COMMITMENT TO MOTHER EARTH - We donate 10% of our profits to ocean and environmental conservation, so your purchase TAKES ACTION. Our packaging is also 100% recyclable and plastic-free. If you are not 100% satisfied with your purchase, we will make it right or process a refund. > CHECK OUT OUR OTHER PLASTIC-FREE PRODUCTS - Click ""add to cart"" for our ECO FLOSS and try our PREMIUM Collapsible Straw & Foldable Spork Kit before checkout. We are constantly developing convenient products to avoid plastic in our daily lives. Mother Earth Thanks you.",https://www.amazon.com/dp/B0812CKD8S,https://m.media-amazon.com/images/I/71ZE1vr3LNL.__AC_SY300_SX300_QL70_ML2_.jpg,1,1,1,0,1,0
100% Certified Home Compostable Dog Poop Bags - 10% to Charity - ASTM D6400 & EN 13432 Compliant - 240 x Plant Based Compostable Poop Bags (16 Rolls),Bags,Pet Supplies,240 Count,G.A.S,"100% HOME COMPOSTABLE DOG POOP BAGS - Our unscented poop bags for dogs are ethically sourced and carefully manufactured from 100% botanical plant components. We use only Cornstarch, BPAT (compostable polymer), and edible glycerin in the nature-based creation of our doggie poop bags. All our products are TÃœV AUSTRIA Home Compost Certified to be of ASTM D6400, EN 13432 and NF T51-800 standards! > EASY TO OPEN AND EASY TO TEAR - Other eco friendly dog bag on the market seem to be a nightmare to open and so hard to tear! Why does being environmental and eco friendly have to be so hard. Our compostable doggie poop bags are an absolute breeze to open and tear apart even in the wettest of conditions! > LEAKPROOF, ODORLESS AND FITS ALL DISPENSERS - Let's face it, dog poop smells like...well, you know. Minimize the Ew! factor so you can relax and enjoy all of the sights (and smells) on walks with your furry best friend. Our doggie bags for poop are engineered to a durable 18 micron thickness that locks away odors and guarantees a mess-free leakproof seal. Our rolls are the perfect dog poop bags refills as they fit all dispensers! > CRAFTED FROM RECYCLED MATERIALS - Our dog bags are a zero-waste green alternative that will change the way you look at everyday pet and dog supplies. Not only are our compostable poop bags fully compostable but they also come in a box and reel made from 100% recycled cardboard. > GIVING BACK TO OUR ANIMAL FRIENDS - We are big believers in the power of charity to not only transform the lives of other beings, but to transform our own. We've partnered with the Soi Dog Foundation, whose mission is to improve the lives of dogs and cats in Asia. We donate 10% of all profits to the Soi Dog Foundation and their tireless quest to end animal suffering when you buy our compostable dog bags for poop and other sustainable products / zero waste products.",https://www.amazon.com/dp/B08GKBWFGZ,https://m.media-amazon.com/images/I/81tojHkX5TL.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,1,0,0,1
Natural Kitchen Sponge - Biodegradable Compostable Cellulose and Coconut Scrubber Sponge - Pack of 12 Eco Friendly Sponges for Dishes,Sponges,Health & Household,Washing dishes,AIRNEX,"NATURAL SPONGES FOR DISHES - Airnex's sponges are made with biodegradable white cellulose and scrubbers containing coconut fiber. These plant-based kitchen sponges are a sure way to green-up your kitchen! > THE HEALTHIER WAY OF CLEANING DISHES - Our natural dish sponge can last long without being stinky! Unlike its plastic counterpart, it has porous structure helps it dry up quickly, lessening the chances for illness-causing compounds to breed. > ERGONOMIC SHAPE - Rectangular dishwashing sponges can be a hassle or tiring for you to hold, so we designed this eco friendly dish sponge with a unique S shape for easier use. Lesser risk of straining your hands while cleaning! > NON-SCRATCH MULTIPURPOSE SPONGES - Safely scrub your dishes and even delicate surfaces without worrying about unwanted scratching. This eco kitchen sponge can help you gently yet effortlessly wipe away grease, dirt, grime, and other impurities. > LOW WASTE SPONGE AND PACKAGING - At the end of its use, simply separate the two halves then compost the white cellulose portion and dispose of the coconut-based scrubber. Whats more, our packaging is 100% recyclable and includes instructions to plant a tree through our reforestation partner Trees For The Future.",https://www.amazon.com/dp/B0917GV13P,https://m.media-amazon.com/images/I/91zidZ1V1VL.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,1,0,0,0
"Bamboo Cotton Swabs - 500 Count - FSC Certified and PETA Approved, Eco Friendly Double Tips, Plastic Free Ear Sticks, All Natural 100% Biodegradable Organic Cotton buds by Isshah",Cotton Swabs,Beauty & Personal Care,,Isshah,"SUSTAINABLE MATERIAL - Isshah cotton swabs are 100% biodegradable and made from sustainable bamboo. Perfect alternative to plastic cotton swabs which comes at the cost of harming our nature. It does not contain any dyes, chemicals or plastics. > NO MORE STRAIN ON THE ENVIRONMENT - Using these little plastic tip used to be a real treat, but they ended up being discarded here and there, clogging up sewers and ending up in our landfills. Made from bamboo and cotton, this small stick is as useful as its plastic counterpart but without any nastiness and also 100% biodegradable. > MULTI-PURPOSE - bamboo cotton swabs can be used in exact the same way a plastic cotton swab. They have a wide variety of uses including beauty, applying/removing/touching-up cosmetics, household cleaning, arts & crafts, pet care, baby care, and more! > RECYCLABLE CARDBOARD BOX - Our bamboo cotton buds come in a recyclable cardboard box. By purchasing this, you are helping to promote a plastic-free lifestyle. > PACK OF 500 - There are 500 bamboo cotton swabs in the box. buy a box of Isshah cotton swab can last a long time to use.",https://www.amazon.com/dp/B09DPYR67T,https://m.media-amazon.com/images/I/41ilEJ8WKnL._SX300_SY300_QL70_ML2_.jpg,1,1,0,0,0,1
"Outreach Uganda Handmade Folded Paper Christmas Ornament  Multi-Color Star Design, Crafted from Recycled Paper | Unique Eco-Friendly Holiday Decoration (1 Piece)",Hanging Ornaments,Home & Kitchen,Paper,Outreach Uganda,"HANDMADE CRAFTMANSHIP - Each ornament is meticulously handcrafted by women artisans in Uganda, showcasing their exceptional skills and dedication. > IDEAL FOR DISCERNING GIFT GIVERS & DECORATORS: Perfect for designers, gift-givers, and holiday decorators who value sustainable crafts and wish to make a positive impact with their purchases. Embrace creativity, sustainability, and social responsibility with every ornament. > UPCYCLED & ECO-FRIENDLY - Ornaments are made from recycled magazine paper and are the color of the original printed paper, often including flecking and markings, which were the writing on that paper making each bead unique. > DO GOOD, FEEL GOOD - We are a U.S. nonprofit helping Ugandans earn a living so they can support their families. We pay each artisan a fair trade price so she can buy food, help send her children to school, and start or grow her own business in Uganda. All items ship with a gift bag and card about the women who make the beads. > 100% SATISFACTION GUARANTEED  We stand behind our work and know you will love it! If, for any reason, you are not satisfied with your purchase, we offer hassle-free returns and exchanges within 30 days of purchase.",https://www.amazon.com/dp/B09GSDVWG6,https://m.media-amazon.com/images/I/41BZQnmgp7L._QL70_ML2_.jpg,0,1,0,0,0,1
